title,gross
$,N/A
$1000 a Touchdown,N/A
$21 a Day Once a Month,N/A
"$40,000",N/A
"$50,000 Climax Show, The",N/A
$pent,N/A
$windle,NA
'15',N/A
'38,N/A
'49-'17,N/A
'68,N/A
'94 du bi dao zhi qing,NA
"'?' Motorist, The",N/A
'A',N/A
'A' gai waak,NA
'A' gai waak juk jaap,NA
'Breaker' Morant,N/A
'Bullitt': Steve McQueen's Commitment to Reality,N/A
'Crocodile' Dundee II,N/A
'E',"223,749,872"
'El Chicko' - der Verdacht,N/A
'G' Men,N/A
'Gator Bait,N/A
'Gator Bait II: Cajun Justice,NA
"'High Sign', The",N/A
'Hukkunud Alpinisti' hotell,N/A
"'Hyp-Nut-Tist', The",N/A
'I Do...',N/A
'I Know Where I'm Going!',N/A
'Java Madness' formerly titled 'Coffee Madness',N/A
"'Je vous salue, Marie'",N/A
'Kaash',N/A
'M' Word,N/A
"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",N/A
'Manos' the Hands of Fate,N/A
'Merci la vie',N/A
'Neath Brooklyn Bridge,N/A
'Neath Canadian Skies,N/A
'Neath the Arizona Skies,N/A
"'Night, Mother",N/A
'O re,N/A
'Pimpernel' Smith,N/A
'R Xmas,N/A
'Round Midnight,N/A
"'Sheba, Baby'",N/A
"'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet",N/A
"'Teddy' Bears, The",N/A
'Til There Was You,N/A
'Til We Meet Again,N/A
'What's Your 'I.Q.'?' Number Two,N/A
"'burbs, The",N/A
(A)Torzija,N/A
(Entre nous),N/A
(Haru),N/A
(Paris: XY),N/A
(T)Raumschiff Surprise - Periode 1,N/A
*Corpus Callosum,N/A
*batteries not included,N/A
+1 -1,N/A
-30-,N/A
-But the Flesh Is Weak,N/A
...4 ...3 ...2 ...1 ...morte,NA
...All the Marbles,N/A
...Almost,"31,716,715"
...And Justice for All,N/A
...And Millions Die!,N/A
...Because She Disobeyed,NA
"...Belpaese, Il",NA
...Comme elle respire,NA
...Is It the Design on the Wrapper?,N/A
...Ja teeb trikke,NA
...Lost,N/A
...Maybe This Time,N/A
...Po prozvishchu 'Zver',N/A
...Quando Troveja,NA
...To Skin a Cat,N/A
...a tutte le auto della polizia,NA
...a zase ta Lucie!,N/A
"...al fin, el mar",NA
...ani smrt nebere,NA
"...borgnes sont rois, Les",NA
"...dopo di che, uccide il maschio e lo divora",NA
...e per tetto un cielo di stelle,NA
...e tanta paura,NA
...som havets nakna vind,NA
...tick...tick...tick...,N/A
...und abends in die Scala,N/A
...und das ist erst der Anfang,NA
...und die Liebe lacht dazu,N/A
...ya no puede caminar.,N/A
.com for Murder,N/A
00 Schneider - Jagd auf Nihil Baxter,N/A
002 agenti segretissimi,NA
002 operazione Luna,N/A
06,N/A
06/05,N/A
07 con el 2 delante (Agente: Jaime Bonet),N/A
08/15,N/A
08/15 - In der Heimat,NA
08/15 - Zweiter Teil,NA
1 Giant Leap,N/A
1+1=3,N/A
"1,000 Dollars a Minute",N/A
"1,99 - Um Supermercado Que Vende Palavras",N/A
1-2-3-4 ou Les Collants noirs,NA
